Year,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
UTTARAKHAND,January,71.3,77.1,56.7,98.9,49.7,42.1,9.6,33,29.9,22.7,53.8,40.7,58.5,64.1,48.7,1.7,55.6,1.8,11.4,30.9,38.8,73,45.9,54.5
UTTARAKHAND,Febuary,32.5,70.3,84.2,123.6,89.6,14.9,68.4,11.4,69.4,27.9,123.2,126,11.7,83.2,9.6,138.9,11.7,27.6,62.1,65.2,11.9,188.3,99.9,62.6
UTTARAKHAND,March,46.1,162.8,11,79.9,67.1,31.2,106.2,1.4,37.9,83.4,100,99.7,0,54.2,71.7,123.1,18.1,18.8,3.8,18,28.1,22,68.4,127.3
UTTARAKHAND,April,2.9,19.8,69.8,41.4,28.4,90.5,73,1.2,18.1,48.2,76.3,54.1,51.5,12.8,52.2,41.1,93,18.4,13.8,30.9,39.2,24.7,37.6,57.3
UTTARAKHAND,May,31.5,71.7,75.6,34.6,18.3,56.1,78.5,50.5,83.3,109.1,82.3,67.1,66,52.1,120.5,78.8,67.3,77.6,47,84.2,9.1,18.2,52.9,38
UTTARAKHAND,June,117.5,144.7,112.1,138.5,181.6,129.8,163.3,158.9,313.9,297.3,139.6,145.2,130.7,74,104.2,139.9,332.4,41.9,72.7,223.1,46,488.9,62.9,186.6
UTTARAKHAND,July,254.4,309.4,476.9,358.3,308.1,290,242.9,389,420.1,493,205.7,515.3,400.9,400.1,345.6,522.9,313.3,157.5,455.8,433.3,387.1,413.4,462.7,337
UTTARAKHAND,August,385.1,282.3,428.2,430.7,441.1,273.3,260,285.5,436.1,371.7,465.4,416.2,326.3,249.2,294.7,502.8,245.8,202.6,335.7,523.7,419.5,359.4,264.2,305.3
UTTARAKHAND,September,152.4,447,98,282.8,185.6,36.4,120,217.9,195.3,68.3,301.3,239.9,96.8,337.9,79.1,325.6,190.8,206.6,389.7,148.4,220.6,111.3,107.9,52.6
UTTARAKHAND,October,9,1.5,5.3,5.1,31.4,9.9,75.5,32,1.1,6.3,19.9,1.8,70.7,14.1,18.8,25.1,23.1,81.3,8,3.4,4.7,29.1,40.8,16.8
UTTARAKHAND,November,5.4,7.4,1.7,2.1,0.5,10.8,1.2,0.1,7,1.4,3,4.8,0.8,2.2,6.8,7.8,11.9,12.6,4.5,1.2,3.4,3.2,0,2.4
UTTARAKHAND,December,0,0,22.3,20.2,0,18.5,0,4.7,0.7,15.1,4.2,23.6,5.7,4.3,27,16.7,0.6,0.9,19.5,2.3,15.5,3.8,44.3,7.2
UTTARAKHAND,Annual,1108.1,1594.1,1441.7,1616.1,1401.4,803.4,1198.6,1185.5,1712.9,1544.4,1574.7,1734.3,1219.6,1348.2,1178.9,1924.3,1363.7,847.8,1424,1564.7,1223.9,1735.4,1287.4,1247.6
UTTARAKHAND,January-Febuary,103.8,147.3,140.9,222.6,139.4,57,78,44.4,99.3,50.6,177,166.7,70.2,147.3,58.3,140.6,67.3,29.4,73.6,96.1,50.8,261.3,145.8,117
UTTARAKHAND,March-May,80.5,254.4,156.4,155.8,113.8,177.9,257.7,53.1,139.4,240.7,258.5,220.9,117.6,119.1,244.4,243,178.4,114.8,64.5,133.1,76.4,65,158.8,222.6
UTTARAKHAND,June-September,909.4,1183.5,1115.1,1210.2,1116.4,529.5,786.2,1051.2,1465.4,1230.3,1112.1,1316.6,954.7,1061.3,823.7,1491.2,1082.3,608.7,1253.9,1328.5,1073.1,1373,897.7,881.5
UTTARAKHAND,October-December,14.5,8.8,29.3,27.5,31.9,39.1,76.7,36.8,8.8,22.9,27.1,30.2,77.1,20.5,52.6,49.6,35.7,94.9,32,6.9,23.6,36.2,85.1,26.4
