,Year,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Mean,Quality Index
0,UTTARAKHAND,January,71.3,77.1,56.7,98.9,49.7,42.1,9.6,33.0,29.9,22.7,53.8,40.7,58.5,64.1,48.7,1.7,55.6,1.8,11.4,30.9,38.8,73.0,45.9,54.5,44.6,0.0
1,UTTARAKHAND,Febuary,32.5,70.3,84.2,123.6,89.6,14.9,68.4,11.4,69.4,27.9,123.2,126.0,11.7,83.2,9.6,138.9,11.7,27.6,62.1,65.2,11.9,188.3,99.9,62.6,67.25416666666666,1.0
2,UTTARAKHAND,March,46.1,162.8,11.0,79.9,67.1,31.2,106.2,1.4,37.9,83.4,100.0,99.7,0.0,54.2,71.7,123.1,18.1,18.8,3.8,18.0,28.1,22.0,68.4,127.3,57.50833333333333,1.0
3,UTTARAKHAND,April,2.9,19.8,69.8,41.4,28.4,90.5,73.0,1.2,18.1,48.2,76.3,54.1,51.5,12.8,52.2,41.1,93.0,18.4,13.8,30.9,39.2,24.7,37.6,57.3,41.50833333333333,0.0
4,UTTARAKHAND,May,31.5,71.7,75.6,34.6,18.3,56.1,78.5,50.5,83.3,109.1,82.3,67.1,66.0,52.1,120.5,78.8,67.3,77.6,47.0,84.2,9.1,18.2,52.9,38.0,61.262499999999996,1.0
5,UTTARAKHAND,June,117.5,144.7,112.1,138.5,181.6,129.8,163.3,158.9,313.9,297.3,139.6,145.2,130.7,74.0,104.2,139.9,332.4,41.9,72.7,223.1,46.0,488.9,62.9,186.6,164.40416666666667,1.0
6,UTTARAKHAND,July,254.4,309.4,476.9,358.3,308.1,290.0,242.9,389.0,420.1,493.0,205.7,515.3,400.9,400.1,345.6,522.9,313.3,157.5,455.8,433.3,387.1,413.4,462.7,337.0,370.52916666666664,2.0
7,UTTARAKHAND,August,385.1,282.3,428.2,430.7,441.1,273.3,260.0,285.5,436.1,371.7,465.4,416.2,326.3,249.2,294.7,502.8,245.8,202.6,335.7,523.7,419.5,359.4,264.2,305.3,354.3666666666667,2.0
8,UTTARAKHAND,September,152.4,447.0,98.0,282.8,185.6,36.4,120.0,217.9,195.3,68.3,301.3,239.9,96.8,337.9,79.1,325.6,190.8,206.6,389.7,148.4,220.6,111.3,107.9,52.6,192.175,1.0
9,UTTARAKHAND,October,9.0,1.5,5.3,5.1,31.4,9.9,75.5,32.0,1.1,6.3,19.9,1.8,70.7,14.1,18.8,25.1,23.1,81.3,8.0,3.4,4.7,29.1,40.8,16.8,22.279166666666665,0.0
10,UTTARAKHAND,November,5.4,7.4,1.7,2.1,0.5,10.8,1.2,0.1,7.0,1.4,3.0,4.8,0.8,2.2,6.8,7.8,11.9,12.6,4.5,1.2,3.4,3.2,0.0,2.4,4.258333333333334,0.0
11,UTTARAKHAND,December,0.0,0.0,22.3,20.2,0.0,18.5,0.0,4.7,0.7,15.1,4.2,23.6,5.7,4.3,27.0,16.7,0.6,0.9,19.5,2.3,15.5,3.8,44.3,7.2,10.7125,0.0
